City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Prainha,BR,81.73,clear sky,-1.8,-53.48,Hotel Brasília
273,Dakar,SN,75.2,few clouds,14.69,-17.44,Novotel Dakar
274,Salinas,US,66.2,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
277,Salalah,OM,71.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
278,Buchanan,LR,77.92,light rain,5.88,-10.05,Kamaneahn Hotel Inc
281,Galle,LK,80.08,overcast clouds,6.04,80.22,Amangalla
286,Santa Cruz Del Sur,CU,79.54,clear sky,20.71,-78.0,
287,Mango,US,78.8,broken clouds,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon - OPEN
289,Auki,SB,83.61,light rain,-8.77,160.7,Auki Motel
290,Cukai,MY,80.6,few clouds,4.25,103.42,OYO 90038 Dalyla Inn Chalet
292,Sinnamary,GF,80.19,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
295,Veraval,IN,77.94,clear sky,20.9,70.37,Lords Inn Somnath
296,Farafenni,GM,78.28,overcast clouds,13.57,-15.6,Eddy's Hotel
297,Farafangana,MG,65.73,broken clouds,-22.82,47.83,Austral Hotel
299,Moree,AU,77.0,clear sky,-29.47,149.85,Molika Springs Motel
300,Rosita,NI,76.87,overcast clouds,13.93,-84.4,Colonia Cristo Rey
302,Maraa,BR,71.82,overcast clouds,-1.83,-65.37,
304,Puri,IN,75.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
308,Broken Hill,AU,69.8,clear sky,-31.95,141.43,Daydream Motel & Cottages
312,Acapulco,MX,82.4,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
315,Pakokku,MM,79.7,broken clouds,21.33,95.1,Royal Palace Motel
316,Yanam,IN,80.6,mist,16.73,82.22,The Regency Hotel
319,Ewa Beach,US,86.0,overcast clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
320,Bubaque,GW,83.44,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
321,Ukiah,US,73.4,clear sky,39.15,-123.21,Hampton Inn Ukiah
324,Namibe,AO,75.85,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
325,Sao Jose Da Coroa Grande,BR,77.07,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
339,Wete,TZ,74.23,light rain,-5.06,39.73,Sharook Riviera Grand Lodge
343,Lethem,GY,83.34,clear sky,3.38,-59.8,Savannah Inn
345,Sao Joao Da Barra,BR,70.61,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
347,Nuevitas,CU,75.2,light rain,21.55,-77.26,Hotel Caonaba
351,Semenyih,MY,80.6,shower rain,2.95,101.84,Diamond City Bungalow 13 pax by BeeStay near Broga
352,Monrovia,LR,78.21,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
353,Sangueya,GN,75.0,broken clouds,10.7,-14.37,
357,Port Hedland,AU,87.8,clear sky,-20.32,118.57,The Esplanade Hotel
359,Mormugao,IN,78.8,mist,15.4,73.8,Coconut Creek Resort
362,Nishihara,JP,82.4,few clouds,26.18,127.76,Minshuku Agaihama
363,Belmonte,BR,77.0,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
364,Ponnampet,IN,75.2,mist,12.15,75.93,The Yellow Bamboo Resort & Spa
367,Gainesville,US,70.0,clear sky,29.65,-82.32,Wyndham Garden Gainesville
369,Uarini,BR,69.24,overcast clouds,-2.99,-65.11,
370,Villa Bisono,DO,75.2,broken clouds,19.56,-70.88,BANCO ADEMI
381,Kananga,CD,69.17,overcast clouds,-5.9,22.42,Guest House Wood Land
382,Guerrero Negro,MX,69.46,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
383,Mayumba,GA,76.82,moderate rain,-3.43,10.66,LIKWALE LODGE
