City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Kavaratti,IN,10.57,72.64,81.81,70,73,4.27,broken clouds
110,Vila Franca Do Campo,PT,37.72,-25.43,68.0,100,75,14.99,broken clouds
111,Cayenne,GF,4.93,-52.33,77.0,100,67,2.24,broken clouds
112,Sao Filipe,CV,14.9,-24.5,79.32,70,91,7.38,overcast clouds
113,Longyearbyen,SJ,78.22,15.64,21.2,73,40,11.41,scattered clouds
114,Mar Del Plata,AR,-38.0,-57.56,60.01,76,0,3.36,clear sky
115,Castro,BR,-24.79,-50.01,51.84,95,54,7.92,broken clouds
116,Bredasdorp,ZA,-34.53,20.04,48.2,93,9,4.7,clear sky
117,Klaksvik,FO,62.23,-6.59,42.8,93,78,34.45,light rain
118,Muros,ES,42.78,-9.06,64.0,91,100,14.0,light rain
119,Jumla,NP,29.27,82.18,53.22,43,0,4.27,clear sky
120,Avera,US,33.19,-82.53,59.0,87,90,6.93,overcast clouds
121,Taltal,CL,-25.4,-70.48,57.69,72,21,5.1,few clouds
122,Swan Hill,AU,-35.34,143.55,73.67,37,0,7.58,clear sky
123,Ostersund,SE,63.18,14.64,39.2,93,100,17.22,overcast clouds
124,Cabo San Lucas,MX,22.89,-109.91,80.6,74,20,5.82,few clouds
125,Yellowknife,CA,62.46,-114.35,21.2,100,90,10.29,light snow
126,Pisco,PE,-13.7,-76.22,63.0,88,0,11.41,clear sky
127,Banda Aceh,ID,5.56,95.32,83.7,68,94,6.02,overcast clouds
128,Thunder Bay,CA,48.4,-89.32,39.2,64,90,16.11,overcast clouds
129,Cape Town,ZA,-33.93,18.42,59.0,54,0,11.41,clear sky
130,Pevek,RU,69.7,170.31,15.96,93,77,12.53,broken clouds
131,Keti Bandar,PK,24.14,67.45,77.54,52,0,5.97,clear sky
132,Cherskiy,RU,68.75,161.3,12.29,90,100,2.91,overcast clouds
133,Ilulissat,GL,69.22,-51.1,21.2,73,100,11.41,light snow
134,Chadiza,ZM,-14.07,32.44,60.4,89,0,3.74,clear sky
135,Ancud,CL,-41.87,-73.82,53.01,87,0,2.24,clear sky
136,Nhulunbuy,AU,-12.23,136.77,91.4,52,75,12.75,broken clouds
137,The Valley,AI,18.22,-63.06,82.4,69,40,13.87,scattered clouds
138,Joensuu,FI,62.6,29.76,33.8,87,90,10.29,overcast clouds
139,Siaya,KE,0.06,34.29,62.29,90,46,2.8,scattered clouds
140,Vitim,RU,59.45,112.56,4.1,90,50,2.57,scattered clouds
141,Stornoway,GB,58.21,-6.39,46.99,81,98,17.22,overcast clouds
142,Sioux Lookout,CA,50.1,-91.92,26.6,86,90,13.87,overcast clouds
143,Katsuura,JP,35.13,140.3,64.99,58,75,3.36,broken clouds
144,Ponta Delgada,PT,37.73,-25.67,68.0,100,75,14.99,broken clouds
145,Lagoa,PT,39.05,-27.98,68.43,94,97,27.49,overcast clouds
146,Pedernales,DO,18.04,-71.74,80.29,72,100,3.98,overcast clouds
147,Inirida,CO,3.87,-67.92,74.7,96,100,2.91,moderate rain
148,Tamandare,BR,-8.76,-35.1,77.09,86,91,8.28,overcast clouds
149,Charters Towers,AU,-20.1,146.27,90.84,24,0,2.66,clear sky
150,Mount Gambier,AU,-37.83,140.77,60.8,67,40,9.17,scattered clouds
151,Baden-Baden,DE,48.75,8.25,57.2,67,100,8.05,overcast clouds
152,Kijang,KR,35.24,129.21,57.2,67,0,1.12,clear sky
153,Samana,DO,19.21,-69.34,78.94,83,95,11.36,overcast clouds
154,Seymchan,RU,62.88,152.43,16.07,93,100,5.23,overcast clouds
155,Ambilobe,MG,-13.2,49.05,69.04,67,56,4.12,broken clouds
156,Craig,US,40.52,-107.55,46.4,60,1,3.36,clear sky
157,Caravelas,BR,-17.71,-39.25,72.46,95,100,7.45,overcast clouds
158,Lakatoro,VU,-16.1,167.42,84.2,70,20,13.87,few clouds
159,Bambous Virieux,MU,-20.34,57.76,68.0,72,40,9.17,shower rain
160,Ponta Do Sol,PT,32.67,-17.1,72.0,42,20,9.17,few clouds
161,Manjeri,IN,11.12,76.12,75.2,94,20,2.08,mist
162,Muroto,JP,33.28,134.15,68.0,60,75,8.05,broken clouds
163,Shimoda,JP,34.67,138.95,62.6,67,40,13.87,scattered clouds
164,Praia Da Vitoria,PT,38.73,-27.07,71.6,88,75,17.63,light intensity shower rain
165,Sandpoint,US,48.28,-116.55,41.0,79,1,3.36,clear sky
166,Rumuruti,KE,0.27,36.54,55.89,86,0,4.88,clear sky
167,Kavieng,PG,-2.57,150.8,85.28,71,9,9.19,light rain
168,Sikasso,ML,10.92,-7.0,74.7,44,87,1.45,overcast clouds
169,Bereda,ES,43.27,-7.54,63.0,85,100,11.99,overcast clouds
170,Leh,IN,34.17,77.58,30.02,71,0,0.38,clear sky
171,Ciudad Bolivar,VE,8.12,-63.55,79.83,80,100,11.79,overcast clouds
172,Altamira,BR,-3.2,-52.21,79.3,57,0,1.45,clear sky
173,Sabaudia,IT,41.3,13.03,55.0,95,93,4.0,overcast clouds
174,Honningsvag,NO,70.98,25.97,40.28,77,1,22.88,clear sky
175,Snezhnogorsk,RU,69.19,33.25,30.2,86,75,4.47,broken clouds
176,Tabou,CI,4.42,-7.35,77.5,88,72,6.76,broken clouds
177,Karratha,AU,-20.74,116.85,84.43,44,0,13.78,clear sky
178,Maceio,BR,-9.67,-35.74,75.2,94,0,4.7,clear sky
179,Chabahar,IR,25.29,60.64,71.85,32,0,5.17,clear sky
180,Hovd,MN,48.01,91.64,29.12,84,0,1.79,clear sky
181,Dingle,PH,11.0,122.67,82.29,82,100,10.13,moderate rain
182,Hobart,AU,-42.88,147.33,64.99,71,75,8.05,shower rain
183,Tual,ID,-5.67,132.75,83.66,76,74,15.1,light rain
184,Balfour,ZA,-26.66,28.59,54.0,98,100,5.01,light rain
185,Parana,AR,-31.73,-60.52,64.99,53,0,1.99,clear sky
186,Narsaq,GL,60.92,-46.05,26.6,79,73,2.44,light snow
187,Mehamn,NO,71.04,27.85,36.91,81,0,14.88,clear sky
188,Saint Anthony,US,45.02,-93.22,43.0,48,75,9.17,broken clouds
189,Pudozh,RU,61.81,36.53,29.62,97,0,3.36,clear sky
190,Salinopolis,BR,-0.61,-47.36,80.47,81,12,12.97,few clouds
191,Nyimba,ZM,-14.56,30.81,69.67,63,2,5.84,clear sky
192,Chenghai,CN,23.46,116.77,73.4,64,0,2.24,clear sky
193,Vardo,NO,70.37,31.11,38.88,85,100,16.64,overcast clouds
194,Esperance,AU,-33.87,121.9,75.2,57,100,8.05,overcast clouds
195,Chapais,CA,49.78,-74.85,28.4,58,90,17.22,overcast clouds
196,Tazovskiy,RU,67.47,78.7,29.55,99,100,10.09,overcast clouds
197,Fairbanks,US,64.84,-147.72,10.0,84,90,1.7,light snow
198,Souillac,MU,-20.52,57.52,68.0,72,40,9.17,shower rain
199,Sitka,US,57.05,-135.33,51.8,87,90,17.22,light rain
200,Clarence Town,AU,-32.58,151.78,68.0,77,75,12.75,light intensity shower rain
201,Nanortalik,GL,60.14,-45.24,28.6,90,37,22.55,scattered clouds
202,Juarez,MX,31.73,-106.48,71.6,24,90,3.36,overcast clouds
203,Verkhnyaya Inta,RU,65.98,60.31,32.41,98,100,17.69,overcast clouds
204,Chuy,UY,-33.7,-53.46,51.82,86,0,2.95,clear sky
205,Syrskoye,RU,52.57,39.5,46.67,94,100,16.82,light rain
206,Cassia,BR,-20.58,-46.92,66.31,78,97,6.93,overcast clouds
207,Riyadh,SA,24.69,46.72,62.6,48,0,4.27,clear sky
208,Noumea,NC,-22.28,166.46,91.4,41,0,10.29,clear sky
209,Zhanakorgan,KZ,43.91,67.25,40.39,64,0,3.85,clear sky
210,Changli,CN,39.7,119.15,57.0,22,0,14.94,clear sky
211,Diego De Almagro,CL,-26.37,-70.05,57.43,36,100,0.25,overcast clouds
212,Lata,PT,40.16,-8.33,64.0,90,100,1.1,overcast clouds
213,San Quintin,MX,30.48,-115.95,53.01,17,8,4.0,clear sky
214,Krishnarajasagara,IN,12.41,76.58,70.34,83,22,2.17,few clouds
215,Palembang,ID,-2.92,104.75,80.11,85,100,3.4,overcast clouds
216,Linhares,BR,-19.39,-40.07,68.09,96,100,6.76,light rain
217,Marzuq,YE,14.4,46.47,61.29,34,0,3.78,clear sky
218,Mogadishu,SO,2.04,45.34,79.36,80,87,10.65,light rain
219,Dikson,RU,73.51,80.55,18.57,98,100,5.1,light snow
220,Severo-Kurilsk,RU,50.68,156.12,43.68,74,57,16.84,broken clouds
221,Provideniya,RU,64.38,-173.3,23.16,87,0,4.68,clear sky
222,Scarborough,GB,54.28,-0.4,48.0,82,100,4.0,overcast clouds
223,San Patricio,US,28.02,-97.52,66.2,68,20,6.93,few clouds
224,Tondano,ID,1.3,124.91,87.8,62,20,2.24,few clouds
225,Kupang,ID,-10.17,123.58,89.73,41,12,3.11,few clouds
226,Bathsheba,BB,13.22,-59.52,78.8,88,75,11.41,broken clouds
227,Srednekolymsk,RU,67.45,153.68,7.84,94,100,4.05,light snow
228,Grenada,ES,37.19,-3.61,55.99,87,0,2.24,clear sky
229,Barsuki,RU,54.27,37.49,39.63,89,100,13.91,overcast clouds
230,Kawalu,ID,-7.38,108.21,82.56,67,6,3.18,clear sky
231,Edgewater,US,28.99,-80.9,77.0,78,75,4.7,broken clouds
232,Taoudenni,ML,22.68,-3.98,73.98,21,54,12.82,broken clouds
233,Beitbridge,ZW,-22.22,30.0,67.21,76,84,20.47,broken clouds
234,Callaway,US,30.15,-85.57,69.8,77,75,8.05,broken clouds
235,Tinskoy,RU,56.15,96.92,18.64,88,60,4.36,broken clouds
236,Daru,PG,-9.08,143.21,84.63,70,45,12.93,scattered clouds
237,La Ronge,CA,55.1,-105.28,19.4,85,0,3.36,clear sky
238,Nalut,LY,30.33,10.85,54.77,87,0,8.66,clear sky
239,Kitami,JP,43.8,143.89,51.01,81,75,3.36,broken clouds
240,Husavik,IS,66.04,-17.34,37.4,86,90,11.18,drizzle
241,Sao Geraldo Do Araguaia,BR,-6.4,-48.55,77.54,82,25,1.66,heavy intensity rain
242,Ayagoz,KZ,47.97,80.44,28.69,93,0,5.46,clear sky
243,Roebourne,AU,-20.78,117.13,87.22,39,0,12.15,clear sky
244,Buraydah,SA,26.33,43.98,59.0,44,0,7.67,clear sky
245,Kozhva,RU,65.11,57.05,32.54,96,100,9.82,overcast clouds
246,Sayyan,YE,15.17,44.32,47.21,51,0,4.56,clear sky
247,Kaseda,JP,31.42,130.32,68.0,72,75,5.82,broken clouds
248,Lumut,MY,4.23,100.63,80.6,83,20,3.36,few clouds
